0.0	0.0	5.00000000000031e-01	7.07106781186544e-01	2.50000000000033e-01	2.49999999999998e-01	0.00000000000000e+00
0.0002	0.00666666666667	5.78505323279135e-01	7.20978520506611e-01	2.40513466219945e-01	2.59905013515951e-01	3.90434217716198e-02
0.0004	0.0133333333333	6.54567076488178e-01	7.34702680429959e-01	2.31726884149608e-01	2.69894014315483e-01	7.64730890115435e-02
0.0006	0.02	7.28382007741589e-01	7.48116314693721e-01	2.23670353695896e-01	2.79839010155457e-01	1.12436321945118e-01
0.0008	0.0266666666667	8.00123775910328e-01	7.61243876589078e-01	2.16255387864798e-01	2.89746119822184e-01	1.47061134111673e-01
0.001	0.0333333333333	8.69949458939059e-01	7.74094048937862e-01	2.09413812882600e-01	2.99610798300506e-01	1.80462423877976e-01
0.0012	0.04	9.38001084694761e-01	7.86673756879844e-01	2.03086779795941e-01	3.09427799881724e-01	2.12743252508548e-01
0.0014	0.0466666666667	1.00440708757041e+00	7.98989931356822e-01	1.97222530084139e-01	3.19192455204790e-01	2.43996051140740e-01
0.0016	0.0533333333333	1.06928365980618e+00	8.11049804058856e-01	1.91775299275258e-01	3.28900892331954e-01	2.74303734099484e-01
0.0018	0.06	1.13273600017368e+00	8.22860878852068e-01	1.86704540089754e-01	3.38550012972599e-01	3.03740723555664e-01
0.002	0.0666666666667	1.19485945085090e+00	8.34430844354054e-01	1.81974278968586e-01	3.48137417004710e-01	3.32373877438800e-01
0.0022	0.0733333333333	1.25574052976146e+00	8.45767471360345e-01	1.77552565530369e-01	3.57661307805636e-01	3.60263328212727e-01
0.0024	0.08	1.31545785854637e+00	8.56878526462384e-01	1.73410988961733e-01	3.67120404556174e-01	3.87463232514231e-01
0.0026	0.0866666666667	1.37408298738492e+00	8.67771715256901e-01	1.69524247762658e-01	3.76513874899952e-01	4.14022432361154e-01
0.0028	0.0933333333333	1.43168114652261e+00	8.78454604590692e-01	1.65869786250750e-01	3.85841246163295e-01	4.39985057054284e-01
0.003	0.1	1.48831189661329e+00	8.88934603481106e-01	1.62427457933932e-01	3.95102364633056e-01	4.65391037023153e-01
0.0032	0.106666666667	1.54402972677861e+00	8.99218910130810e-01	1.59179247434533e-01	4.04297324168421e-01	4.90276577587830e-01
0.0034	0.113333333333	1.59888456702337e+00	9.09314509553378e-01	1.56109011712289e-01	4.13426438642150e-01	5.14674558334467e-01
0.0036	0.12	1.65292226004975e+00	9.19228142942823e-01	1.53202266235863e-01	4.22490189389055e-01	5.38614902212417e-01
0.0038	0.126666666667	1.70618496802989e+00	9.28966308344486e-01	1.50445988973007e-01	4.31489201019591e-01	5.62124889018644e-01
0.004	0.133333333333	1.75871154022477e+00	9.38535252725533e-01	1.47828453306023e-01	4.40424210304290e-01	5.85229438307228e-01
0.0042	0.14	1.81053783579674e+00	9.47940974861427e-01	1.45339079327019e-01	4.49296045910616e-01	6.07951355279553e-01
0.0044	0.146666666667	1.86169701556420e+00	9.57189222643216e-01	1.42968306252281e-01	4.58105603972162e-01	6.30311552669878e-01
0.0046	0.153333333333	1.91221979494176e+00	9.66285504067861e-01	1.40707476862148e-01	4.66853837685840e-01	6.52329240196884e-01
0.0048	0.16	1.96213467679736e+00	9.75235086830278e-01	1.38548740111394e-01	4.75541737292430e-01	6.74022099696766e-01
0.005	0.166666666667	2.01146815254957e+00	9.84043010249392e-01	1.36484962133037e-01	4.84170323010343e-01	6.95406433703095e-01
0.0052	0.173333333333	2.06024488740156e+00	9.92714088674398e-01	1.34509650749797e-01	4.92740630926320e-01	7.16497302862724e-01
0.0054	0.18	2.10848787828580e+00	1.00125292732142e+00	1.32616885440804e-01	5.01253712234854e-01	7.37308640305070e-01
0.0056	0.186666666667	2.15621860575242e+00	1.00966392217344e+00	1.30801260314792e-01	5.09710617869330e-01	7.57853363784148e-01
0.0058	0.193333333333	2.20345715979691e+00	1.01795127606855e+00	1.29057829134796e-01	5.18112400224796e-01	7.78143465218661e-01
0.006	0.2	2.25022236133619e+00	1.02611900184187e+00	1.27382060357321e-01	5.26460102970478e-01	7.98190099004197e-01
0.0062	0.206666666667	2.29653186287498e+00	1.03417093790674e+00	1.25769793789406e-01	5.34754764405455e-01	8.18003652340060e-01
0.0064	0.213333333333	2.34240224967806e+00	1.04211074854814e+00	1.24217206327064e-01	5.42997406119783e-01	8.37593818615609e-01
0.0066	0.22	2.38784912164221e+00	1.04994193765937e+00	1.22720777797058e-01	5.51189036227952e-01	8.56969653808601e-01
0.0068	0.226666666667	2.43288717187817e+00	1.05766785533707e+00	1.21277262396216e-01	5.59330646106660e-01	8.76139631687647e-01
0.007	0.233333333333	2.47753025592324e+00	1.06529170680776e+00	1.19883662538433e-01	5.67423210296699e-01	8.95111691544052e-01
0.0072	0.24	2.52179145837579e+00	1.07281655594891e+00	1.18537206879781e-01	5.75467681359045e-01	9.13893285068483e-01
0.0074	0.246666666667	2.56568314866244e+00	1.08024533492494e+00	1.17235328997951e-01	5.83464991813550e-01	9.32491413925468e-01
0.0076	0.253333333333	2.60921702955086e+00	1.08758085573782e+00	1.15975647673907e-01	5.91416058883703e-01	9.50912661496623e-01
0.0078	0.26	2.65240419495492e+00	1.09482580426380e+00	1.14755953693023e-01	5.99321770840941e-01	9.69163235210478e-01
0.008	0.266666666667	2.69525516253990e+00	1.10198275979426e+00	1.13574191392074e-01	6.07183001441889e-01	9.87248984852969e-01
0.0082	0.273333333333	2.73777992251708e+00	1.10905418983283e+00	1.12428448239534e-01	6.15000597992875e-01	1.00517543814234e+00
